Post Date,Day,Creative Title,Status,Channel,Asset Filename,Products,Was,Now,Save,Valid Dates,Caption,Posted By,Posted At,Notes
2026-07-01,Wednesday,Vivid Winter Shield Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-01-vivid-winter-shield-duo.png,Vivid Astragalus 60s + Vivid L-Lysine 60s,R282,R254,R28,01 JUL TO 08 JUL 2026,"❄️ Vivid Winter Shield Duo
Winter shelf sorted: Astragalus + L-Lysine for everyday immune routine support.

🔥 Now R254 (was R282) - save R28
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-02,Thursday,Zinc + NAC Defence Bundle,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-02-zinc-nac-defence-bundle.png,Zinc Glycinate 60C + NAC 60s,R536,R483,R53,02 JUL TO 09 JUL 2026,"🛡️ Zinc + NAC Defence Bundle
A clean defence duo for the everyday immune-support routine.

🔥 Now R483 (was R536) - save R53
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-06,Monday,Methyl Care Focus,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-06-methyl-care-focus.png,Methyl Care 60C,R510,R459,R51,06 JUL TO 13 JUL 2026,"⚡ Methyl Care Focus
Methyl Care for focus days when the routine needs extra support.

🔥 Now R459 (was R510) - save R51
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-08,Wednesday,Vivid Joint Ease Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-08-vivid-joint-ease-duo.png,Vivid MSM 90s + Vivid Joint Relief 60s,R309,R278,R31,08 JUL TO 15 JUL 2026,"🦵 Vivid Joint Ease Duo
MSM + Joint Relief for a simple body-support routine.

🔥 Now R278 (was R309) - save R31
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-09,Thursday,Digestive Reset Bundle,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-09-digestive-reset-bundle.png,Digestive Enzymes 100 + Ultra 4 Probiotic 30,R553,R498,R55,09 JUL TO 16 JUL 2026,"🌿 Digestive Reset Bundle
Enzymes + probiotic support for the daily gut routine.

🔥 Now R498 (was R553) - save R55
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-13,Monday,Berberine Complex,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-13-berberine-complex.png,Berberine Complex 60s,R448,R403,R45,13 JUL TO 20 JUL 2026,"🌱 Berberine Complex
Berberine Complex for a clean daily wellness routine.

🔥 Now R403 (was R448) - save R45
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-15,Wednesday,Vivid Golden Heat Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-15-vivid-golden-heat-duo.png,Vivid Turmeric 300s + Vivid Cayenne 300s,R644,R579,R65,15 JUL TO 22 JUL 2026,"🔥 Vivid Golden Heat Duo
Turmeric + cayenne for a warming botanical routine.

🔥 Now R579 (was R644) - save R65
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-16,Thursday,Collagen Omega Bundle,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-16-collagen-omega-bundle.png,Mobility Collagen 450g + Mega Omega Supreme 60s,R894,R805,R89,16 JUL TO 23 JUL 2026,"✨ Collagen Omega Bundle
Collagen + omega support for skin, joints and daily wellness.

🔥 Now R805 (was R894) - save R89
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-20,Monday,Lion's Mane Clarity,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-20-lions-mane-clarity.png,Lions Mane Extract 60s,R337,R303,R34,20 JUL TO 27 JUL 2026,"🍄 Lion's Mane Clarity
Lion's Mane for clean focus, clarity and a sharper daily routine.

🔥 Now R303 (was R337) - save R34
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
2026-07-22,Wednesday,Vivid Calm Night Duo,Ready to post,Telegram / WhatsApp / IG-FB repost,2026-07-22-vivid-calm-night-duo.png,Vivid Tranquil 60s + Vivid GABA 150g,R388,R349,R39,22 JUL TO 29 JUL 2026,"🌙 Vivid Calm Night Duo
Tranquil + GABA for the evening wind-down routine.

🔥 Now R349 (was R388) - save R39
🛒 In-store only | while stocks last
📍 Centurion | Glen Village | Edenvale",,,
