product_id,title,added_tags,existing_tag_count
gid://shopify/Product/8053024981302,GAIA ORGANICS - Hydrogen Peroxide 3% Food Grade Dilution 500ml,Organic,12
gid://shopify/Product/8053025079606,GAIA ORGANICS - Hydrogen Peroxide 35% Food Grade 500ml Dropper Bottle – Recycled Plastic,Organic,11
gid://shopify/Product/8053025177910,GAIA ORGANICS - Hydrogen Peroxide 35% Food Grade 75ml Dropper Bottle – Recycled Plastic,Organic,11
gid://shopify/Product/8053055095094,G.I.NUTRILEAN - Raspberry Ketones 60 Capsules,Keto,8
gid://shopify/Product/8859285913910,ORGANIC CHOICE - Amla Powder - 100g,Organic,14
gid://shopify/Product/8859311243574,ORGANIC CHOICE - Ashwagandha Powder - 100g,Organic,20
gid://shopify/Product/8859314258230,ORGANIC CHOICE - Ashwagandha Powder - 227g,Organic,21
gid://shopify/Product/8859320090934,ORGANIC CHOICE - Brahmi Powder - 100g,Organic,14
gid://shopify/Product/8859324842294,ORGANIC CHOICE - Indigo Powder - 227g,Organic,8
gid://shopify/Product/8859346338102,ORGANIC CHOICE - Shilajit - 60 Capsules,Organic,17
gid://shopify/Product/8859351482678,ORGANIC CHOICE - Shilajit Powder - 100g,Organic,16
gid://shopify/Product/8859354267958,ORGANIC CHOICE - Shilajit Resin - 15g,Organic,16
gid://shopify/Product/8859360100662,ORGANIC CHOICE - Arjuna Powder - 100g,Organic,15
gid://shopify/Product/8859363410230,ORGANIC CHOICE - Bhringraj Powder - 100g,Organic,12
gid://shopify/Product/8859366293814,ORGANIC CHOICE - Fenugreek Powder - 100g,Organic,15
gid://shopify/Product/8859372028214,ORGANIC CHOICE - Gokshura Powder - 100g,Organic,17
gid://shopify/Product/8859376288054,ORGANIC CHOICE - Haritaki Powder - 100g,Organic,14
gid://shopify/Product/8859379663158,ORGANIC CHOICE - Henna Powder - 227g,Organic,10
gid://shopify/Product/8859382907190,ORGANIC CHOICE - Hibiscus Powder - 100g,Organic,11
gid://shopify/Product/8917592572214,TREASURE LIFE - Organic Oats Superfood Breakfast Bowl - 78g x 10 Servings,Organic,11
gid://shopify/Product/10012007268662,ORGANIC CHOICE - Shilajit Resin - 30g,Organic,16
gid://shopify/Product/10012017426742,ORGANIC CHOICE - Arrowroot Powder - 1kg,Organic,11
gid://shopify/Product/10012035711286,ORGANIC CHOICE - Raw Bee Pollen - 85g,Organic,12
gid://shopify/Product/10101635973430,PLUSH ORGANICS - Raw Batana Oil - 150g,Organic,11
