phase,type,id,title_or_collection,change
A,product,gid://shopify/Product/8053028028726,HEALTH CONNECTION WHOLEFOODS - Organic Carob Powder - 200g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053028585782,HEALTH CONNECTION WHOLEFOODS - Digestive Bran - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053028749622,HEALTH CONNECTION WHOLEFOODS - Erythritol & Stevia Blend - 400g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053029273910,HEALTH CONNECTION WHOLEFOODS - Gluten-Free Brown Flour Mix - 470g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053029437750,HEALTH CONNECTION WHOLEFOODS - Gluten-Free General Purpose Flour Mix - 1Kg,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053029568822,HEALTH CONNECTION WHOLEFOODS - Gluten-Free Flour Mix - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053031436598,HEALTH CONNECTION WHOLEFOODS - Organic Cacao Powder - 200g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053031567670,HEALTH CONNECTION WHOLEFOODS - Potato Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053032059190,HEALTH CONNECTION WHOLEFOODS - White Rice Flour Stoneground - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053032288566,HEALTH CONNECTION WHOLEFOODS - Stevia Liquid - 150ml,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053032354102,HEALTH CONNECTION WHOLEFOODS - Stevia Powder - 25g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053032386870,HEALTH CONNECTION WHOLEFOODS - Stevia Tablets - 300 Tablets,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053032485174,HEALTH CONNECTION WHOLEFOODS - Stevia Tablets - 100 Tablets,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053032780086,HEALTH CONNECTION WHOLEFOODS - Tapioca Flour - 500g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053033042230,HEALTH CONNECTION WHOLEFOODS - Vanilla Extract - 25ml,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
A,product,gid://shopify/Product/8053033435446,HEALTH CONNECTION WHOLEFOODS - Xanthan Gum - 50g,tagsAdd Food>Baking (NO-OP: Shopify dedupes whitespace-variant tags; userErrors empty)
