shopify_id,title,handle,status,sub_brand,family_key,total_inventory,variant_count,primary_sku,primary_barcode,min_price_zar,max_price_zar,hero_match,is_bundle,is_commodity,decision,proposed_tier,rationale,tags,seo_title,seo_description,created_at,updated_at,online_store_url,featured_image_url,collections
10641724735798,Vivid Allergy Stack — Complete Allergy Support Bundle,vivid-allergy-stack-complete-allergy-support-bundle,ACTIVE,BUNDLE/OTHER,vivid allergy stack — complete allergy support bundle,0,1,,,594.72,594.72,,Y,,KEEP,Premium,Existing bundle; rebrand under new system,"allergy, bundle, cat:immunity, cat:respiratory, featured:immunity, gluten-free, immune, natural-allergy-supplement-south-africa, proudly-south-african, sugar-free, vivid-health",Vivid Allergy Stack — 3-Product Allergy Support Bundle,"The Vivid Allergy Stack bundles Allergy Control, Quercetin Complex & Buffered C at 10% off. Multi-pathway allergy support. Shop the bundle at Onelife Health.",2026-03-19T17:56:43Z,2026-04-18T19:31:48Z,https://onelife.co.za/products/vivid-allergy-stack-complete-allergy-support-bundle,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/vivid-allergy-stack-v4.jpg?v=1774614633,"Conditions - Immune, Vivid Health, Brand - VIVID HEALTH, Immunity & Cold Season, Respiratory Health, Gluten Free, Sugar Free, Proudly South African"
10641724768566,Vivid Bone & Joint Pack — Complete Skeletal Support Bundle,vivid-bone-joint-pack-complete-skeletal-support-bundle,ACTIVE,BUNDLE/OTHER,vivid bone & joint pack — complete skeletal support bundle,0,1,,,742.66,742.66,,Y,,KEEP,Premium,Existing bundle; rebrand under new system,"bone, bone-supplement-south-africa, bundle, cat:joints-mobility, featured:joints-mobility, gluten-free, joint, proudly-south-african, sugar-free, vivid-body, vivid-health",,,2026-03-19T17:56:45Z,2026-04-18T19:31:49Z,https://onelife.co.za/products/vivid-bone-joint-pack-complete-skeletal-support-bundle,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/vivid-bone-joint-v3.jpg?v=1774614411,"Conditions - Joints, Vivid Health, Brand - VIVID HEALTH, Joints & Mobility, Gluten Free, Sugar Free, Proudly South African"
10641724801334,"Vivid Rest & Focus Stack — Sleep, Calm and Mental Clarity Bundle",vivid-rest-focus-stack-sleep-calm-and-mental-clarity-bundle,ACTIVE,BUNDLE/OTHER,"vivid rest & focus stack — sleep, calm and mental clarity bundle",0,1,,,587.67,587.67,,Y,,KEEP,Premium,Existing bundle; rebrand under new system,"5-htp-south-africa, anxiety, bundle, cat:brain-cognitive, cat:sleep-relaxation, cat:stress-mood, featured:sleep-relaxation, focus, gluten-free, proudly-south-african, sleep, stay-vivid, sugar-free, vivid-health",,,2026-03-19T17:56:46Z,2026-04-18T19:31:49Z,https://onelife.co.za/products/vivid-rest-focus-stack-sleep-calm-and-mental-clarity-bundle,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/vivid-rest-focus-v3.jpg?v=1774614416,"Conditions - Sleep, Conditions - Stress, Vivid Health, Brand - VIVID HEALTH, Sleep & Relaxation, Stress & Mood, Brain & Cognitive, Gluten Free, Sugar Free, Proudly South African"
8155077181750,VIVID HEALTH - GUT HEALTH - Black Walnut 60 Capsules,vivid-health-gut-health-black-walnut-60-capsules,ACTIVE,GUT HEALTH,black walnut,17,1,6000000006051,,140.41,140.41,,,,KEEP,Daily,Active in-stock SKU,"brand_VIVID HEALTH - GUT HEALTH, cat:gut-health, cat:herbal-supplements, cat:liver-detox, Conditions>Bacteria, Conditions>Detox, Conditions>Gut, dairy-free, featured:gut-health, featured:herbal-supplements, Fungi, gluten-free, Health>Herbs, Parasites, proudly-south-african, sugar-free, vegetarian, Virus",Vivid Health Black Walnut 60 Caps | Gut & Parasite Support,Vivid Health Black Walnut hull capsules support gut health with natural antiparasitic and antifungal properties. 60 capsules per bottle. Shop at Onelife Health.,2023-02-25T01:30:27Z,2026-05-09T14:01:21Z,https://onelife.co.za/products/vivid-health-gut-health-black-walnut-60-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/10140-VividHealthLabels_BlackWalnut60_s_Front.png?v=1694183146,"Conditions - Bacteria, Virus, Parasite, Fungi, Conditions - Detox, Conditions - Gut, Health - Herbs, Health Supplements, Health Conditions, Vivid Health, Brand - VIVID HEALTH, Gut Health & Digestion, Liver & Detox, Herbal Supplements, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
8155078263094,VIVID HEALTH - GUT HEALTH - Clove 60 Capsules,vivid-health-gut-health-clove-60-capsules,ACTIVE,GUT HEALTH,clove,22,1,6000000632557,,123.28,123.28,,,,KEEP,Daily,Active in-stock SKU,"brand_VIVID HEALTH - GUT HEALTH, cat:gut-health, cat:herbal-supplements, cat:immunity, Conditions>Bacteria, Conditions>Detox, Conditions>Gut, dairy-free, featured:gut-health, featured:herbal-supplements, Fungi, gluten-free, Health>Herbs, Parasites, proudly-south-african, sugar-free, vegetarian, Virus",Vivid Health Clove 60 Capsules | Gut Health & Parasite Support,Vivid Health Clove capsules offer concentrated eugenol-rich clove extract to support gut health and parasite cleanse protocols. Shop now at Onelife Health.,2023-02-25T01:31:10Z,2026-04-24T11:01:26Z,https://onelife.co.za/products/vivid-health-gut-health-clove-60-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/10140-VividHealthLabels_Clove60_s_Front.png?v=1694183420,"Conditions - Bacteria, Virus, Parasite, Fungi, Conditions - Detox, Conditions - Gut, Conditions - Immune, Health - Herbs, Health Supplements, Health Conditions, Vivid Health, Brand - VIVID HEALTH, Immunity & Cold Season, Gut Health & Digestion, Herbal Supplements, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
8155085930806,VIVID HEALTH - GUT HEALTH & IMMUNE - Wormwood 60 Capsules,vivid-health-gut-health-immune-wormwood-60-capsules,ACTIVE,GUT HEALTH & IMMUNE,wormwood,27,1,6999000456730,,133.0,133.0,,,,KEEP,Daily,Active in-stock SKU,"brand_VIVID HEALTH - GUT HEALTH & IMMUNE, cat:gut-health, cat:herbal-supplements, cat:immunity, Conditions>Allergies, Conditions>Detox, Conditions>Digestion, dairy-free, featured:gut-health, featured:herbal-supplements, gluten-free, Health>Herbs, proudly-south-african, sugar-free, vegetarian",Vivid Health Wormwood 60 Capsules | Gut & Immune Support,Vivid Health Wormwood 60 capsules supports gut health and immune function with traditional Artemisia. Shop this herbal supplement at Onelife Health.,2023-02-25T01:33:58Z,2026-05-05T08:05:28Z,https://onelife.co.za/products/vivid-health-gut-health-immune-wormwood-60-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/10140-VividHealthLabels_Wormwood60_s_Front.png?v=1694183636,"Conditions - Allergies, Conditions - Detox, Conditions - Gut, Conditions - Immune, Health - Herbs, Health Supplements, Health Conditions, Vivid Health, Brand - VIVID HEALTH, Immunity & Cold Season, Gut Health & Digestion, Herbal Supplements, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
8492621922614,VIVID HEALTH - IMMUNE - Advanced Buffered C 300 Capsules,vivid-health-immune-advanced-buffered-c-300-capsules,ACTIVE,IMMUNE,advanced buffered c,0,1,6000000034818,,550.0,550.0,,,,KEEP,Daily,"Active but out of stock — rebrand candidate, flag stock-out","brand_VIVID HEALTH, brand_VIVID HEALTH - IMMUNE, cat:immunity, cat:skin-hair-nails, cat:vitamins-minerals, Conditions>Immune, dairy-free, featured:immunity, featured:vitamins-minerals, gluten-free, Health>Vits&Minerals, proudly-south-african, sugar-free, vegetarian",Vivid Health Buffered Vitamin C 300 Caps | Gentle Immune Support,"Vivid Health Advanced Buffered C offers gentle, non-acidic Vitamin C in a 300-capsule value pack for daily immune and antioxidant support. Shop at Onelife Health.",2023-07-12T06:43:48Z,2026-04-18T19:12:48Z,https://onelife.co.za/products/vivid-health-immune-advanced-buffered-c-300-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/IMG-5207.png?v=1695297293,"Conditions - Immune, Health - Vitamins & Minerals, Health Supplements, Health Conditions, Vivid Health, Brand - VIVID HEALTH, Immunity & Cold Season, Skin, Hair & Nails, Vitamins & Minerals, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
8155076722998,VIVID HEALTH - IMMUNE - Allergy Control 60 Capsules,vivid-health-immune-allergy-control-60-capsules,ACTIVE,IMMUNE,allergy control,5,1,6000000696467,,199.0,199.0,,,,KEEP,Daily,Active in-stock SKU,"brand_VIVID HEALTH - IMMUNE, cat:herbal-supplements, cat:immunity, cat:respiratory, Conditions>Allergies, dairy-free, featured:immunity, gluten-free, Health>Herbs, proudly-south-african, sugar-free, vegetarian",Vivid Health Allergy Control 60 Caps | Natural Allergy Support,Vivid Health Allergy Control supports balanced histamine and immune response for seasonal and environmental allergies. Shop 60 capsules at Onelife Health.,2023-02-25T01:30:02Z,2026-05-12T14:02:09Z,https://onelife.co.za/products/vivid-health-immune-allergy-control-60-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/IMG-5199.png?v=1695296292,"Conditions - Allergies, Conditions - Immune, Health - Herbs, Health Supplements, Health Conditions, Vivid Health, Vivid Health — South Africa's Functional Health Brand, Brand - VIVID HEALTH, Immunity & Cold Season, Respiratory Health, Herbal Supplements, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
8155076952374,VIVID HEALTH - IMMUNE - Astragalus 60 Capsules,vivid-health-immune-astragalus-60-capsules,ACTIVE,IMMUNE,astragalus,35,1,6000000002800,,164.0,164.0,,,,KEEP,Daily,Active in-stock SKU,"brand_VIVID HEALTH - IMMUNE, cat:energy-vitality, cat:herbal-supplements, cat:immunity, cat:stress-mood, Conditions>Immune, dairy-free, featured:herbal-supplements, featured:immunity, gluten-free, Health>Herbs, proudly-south-african, sugar-free, vegetarian",Vivid Health Astragalus 60 Capsules | Immune Adaptogen Support,"Vivid Health Astragalus 60 capsules — an adaptogenic herb for balanced immune support. Rooted in traditional use, backed by modern interest. Shop at Onelife Health.",2023-02-25T01:30:12Z,2026-05-11T14:01:22Z,https://onelife.co.za/products/vivid-health-immune-astragalus-60-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/IMG-5196.png?v=1695296217,"Conditions - Energy & Vitality, Conditions - Immune, Conditions - Stress, Health - Herbs, Health Supplements, Health Conditions, Vivid Health, Brand - VIVID HEALTH, Immunity & Cold Season, Energy & Vitality, Stress & Mood, Herbal Supplements, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
8155082293558,VIVID HEALTH - IMMUNE - Immune Plus 60 Capsules,vivid-health-immune-immune-plus-60-capsules,ACTIVE,IMMUNE,immune plus,30,1,6100000000711,,125.0,125.0,,,,KEEP,Daily,Active in-stock SKU,"brand_VIVID HEALTH - IMMUNE, cat:herbal-supplements, cat:immunity, Conditions>Allergies, Conditions>Immune, dairy-free, featured:immunity, gluten-free, Health>Herbs, proudly-south-african, Sport>Maintain, sugar-free, vegetarian",Vivid Health Immune Plus 60 Caps | Multi-Herb Immune Support,Vivid Health Immune Plus combines buffered Vitamin C with herbal extracts for comprehensive daily immune support. Shop 60 capsules at Onelife Health.,2023-02-25T01:32:25Z,2026-05-11T14:01:15Z,https://onelife.co.za/products/vivid-health-immune-immune-plus-60-capsules,https://cdn.shopify.com/s/files/1/0682/9136/3126/files/IMG-5194.png?v=1695296146,"Conditions - Allergies, Conditions - Immune, Health - Herbs, Sport - Maintain, Sports Nutrition, Health Supplements, Health Conditions, Vivid Health, Brand - VIVID HEALTH, Immunity & Cold Season, Herbal Supplements, Gluten Free, Sugar Free, Dairy Free, Vegetarian, Proudly South African"
